,city_name,country_code,latitude,longitude,temperature,humidity,cloudiness,wind_speed
2333,la baule-escoublac,fr,45.71206610045246,-3.335395553505208,51.8,71.0,0.0,12.75
2337,key biscayne,us,25.370037240708,-79.80397292540246,74.44,78.0,20.0,10.29
2341,beyneu,kz,42.573376483435766,56.23917532595959,23.27,86.0,0.0,6.15
2342,petrovsk-zabaykalskiy,ru,50.85426459621817,108.32030252432975,22.82,43.0,12.0,5.37
2351,nara,ml,16.22694863106581,-8.047163076728907,65.93,82.0,20.0,6.93
2353,rocha,uy,-40.44648453497548,-49.05789791741381,66.02,88.0,88.0,8.72
2354,gravdal,no,72.89977781633661,11.25890853984788,24.8,85.0,0.0,6.93
2357,luancheng,cn,37.9742085016929,113.79723980259774,73.4,49.0,0.0,6.71
2372,avenal,us,35.48445910368579,-119.94170379737061,75.78,33.0,1.0,10.29
2376,purpe,ru,64.28972941926165,76.86528391034182,11.08,85.0,68.0,7.38
2385,aksu,kz,51.18269085146011,78.0866850956885,21.2,85.0,40.0,6.71
2386,orthez,fr,43.516278384166725,-0.7981468388535973,54.14,71.0,92.0,5.82
2388,nerchinskiy zavod,ru,52.161763118686935,120.8682033999309,24.58,33.0,20.0,10.63
2391,sao filipe,cv,11.070336720537554,-28.492843581752766,70.25,97.0,0.0,15.99
2397,paamiut,gl,65.44932433825028,-47.10597818999403,33.67,83.0,0.0,7.83
2399,yzeure,fr,46.798681584951055,3.5856923222209787,33.8,86.0,0.0,2.24
2408,odessa,us,31.303890163032364,-102.16974994811595,59.0,47.0,1.0,18.34
2416,hammerfest,no,73.34578383093461,22.466387622574842,24.8,73.0,0.0,8.05
2417,rolandia,br,-23.350403332701205,-51.372660071722095,69.33,100.0,75.0,4.7
2422,tabuk,sa,27.844386519071634,35.39770658146071,70.03,89.0,92.0,1.68
2424,bakchar,ru,56.90109020788236,82.31855657688425,18.19,82.0,24.0,6.38
2430,tateyama,jp,34.07701715991563,139.71002763605355,69.8,52.0,75.0,4.7
2432,kotido,ug,3.026136068150464,34.522731721426396,61.52,90.0,0.0,5.59
2440,kagadi,ug,0.9300603214254721,30.795145334692336,74.84,100.0,36.0,3.91
2441,melipilla,cl,-33.97300011307951,-71.22563427591525,58.3,93.0,90.0,4.7
2445,bocas del toro,pa,10.21374163357298,-81.42898071029713,78.71,100.0,0.0,3.36
2446,kroya,id,-12.067452519094687,108.02555944916713,83.3,88.0,0.0,3.58
2454,aksu,cn,39.95731044311364,81.26870689658739,21.2,85.0,40.0,6.71
2465,san carlos de bariloche,ar,-41.302476366049284,-71.5873277536602,51.8,50.0,0.0,5.82
2466,hinton,ca,53.634586057728455,-117.11125066847904,16.12,49.0,36.0,4.03
2467,okha,ru,54.005659034499985,144.32718355761835,24.17,100.0,88.0,12.53
2468,carroll,us,41.397536941821556,-94.94301351348545,82.4,34.0,44.0,5.82
2469,starosubkhangulovo,ru,53.14670931915654,57.77347409524816,28.67,93.0,80.0,7.83
2476,usinsk,ru,70.06436715579602,57.548265976512084,15.35,92.0,68.0,4.7
2479,knysna,za,-34.057437797048706,22.807308876794423,60.8,93.0,40.0,3.36
2482,carire,br,-3.950148968710124,-40.257488191431236,73.0,99.0,76.0,0.89
2484,riosucio,co,5.4826767100254585,-75.73267769196883,69.8,88.0,75.0,2.24
2496,presidencia roque saenz pena,ar,-27.780632020537524,-61.865473233024616,68.27,92.0,8.0,4.59
2497,santa cruz de la palma,es,29.722519804205106,-17.12912731763555,62.6,77.0,75.0,6.93
2498,alofi,nu,-30.202646584343924,-168.3325828825764,84.2,74.0,32.0,5.82
2502,opuwo,na,-20.525588837106525,8.446616579935153,62.74,94.0,68.0,4.81
2510,celina,us,40.58734118450866,-84.64110837139053,30.16,71.0,88.0,4.7
2521,port lincoln,au,-40.224561945056415,131.28552310635217,65.75,86.0,56.0,9.51
2536,durban,za,-29.948882631761848,31.492868765205856,48.2,87.0,0.0,2.24
2537,kenai,us,64.4961935540654,-152.57548115348789,41.52,48.0,1.0,12.75
2545,itarema,br,6.535852460865598,-38.41779516500415,79.12,86.0,92.0,6.71
2550,songkhla,th,7.374813191919884,100.88458427491992,80.6,78.0,20.0,10.74
2556,gamba,ga,-7.44426213922597,2.752018708084279,14.5,99.0,12.0,2.68
2559,ixtapa,mx,5.309999686675155,-106.69405951803,75.2,78.0,5.0,8.05
2562,brasilia,br,-15.810070217404586,-48.26841747430447,82.4,69.0,40.0,12.75
2563,crystal beach,ca,45.23241343675039,-79.55294137101832,31.14,74.0,90.0,8.05
2567,kisesa,tz,-3.0846728917879886,34.40042032044096,69.58,87.0,68.0,4.14
2572,nsanje,mw,-17.116801612661646,35.071886323551325,67.33,93.0,0.0,2.68
2581,ipameri,br,-17.621206694274733,-48.10701185695075,73.45,75.0,56.0,3.8
2583,along,in,31.81265909097384,95.36899429668642,65.66,58.0,0.0,2.01
2590,dudinka,ru,70.00586075273628,85.86792508479391,-6.25,72.0,56.0,15.43
